timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211471.845,-62.500,-5.371,-21.973,-22.949,77.148,0
1671211471.849,-50.781,-18.555,-30.762,-34.668,-7.324,0
1671211471.852,5.859,-17.090,-25.879,-32.715,-136.230,0
1671211471.856,30.273,-9.277,-24.902,-8.789,118.652,0
1671211471.860,-17.090,-15.625,-22.461,-14.648,186.523,0
1671211471.864,-69.336,-21.973,-22.949,-36.133,-74.219,0
1671211471.868,-55.176,-17.578,-20.508,-37.109,-100.586,0
1671211471.870,-1.953,-10.254,-18.066,-35.645,-67.383,0
1671211471.874,21.484,-13.184,-29.297,-29.297,-72.266,0
1671211471.878,-10.742,-17.578,-37.109,-24.414,-32.715,0
1671211471.882,-62.988,-18.555,-42.969,-35.156,-19.531,0
1671211471.886,-63.965,-20.020,-34.668,-40.527,149.414,0
1671211471.890,-9.277,-21.484,-27.832,-32.227,76.660,0
1671211471.894,17.578,-17.578,-24.414,-19.531,-10.742,0
1671211471.897,-15.137,-16.113,-16.113,-12.207,72.754,0
1671211471.901,-58.594,-21.484,-25.391,-10.254,201.660,0
1671211471.905,-67.383,-22.949,-32.715,-35.645,61.035,0
1671211471.909,-21.484,-20.508,-32.227,-46.875,-47.852,0
1671211471.913,17.578,-20.508,-31.250,-33.691,-1.465,0
1671211471.916,-6.836,-23.438,-26.855,-25.879,-35.156,0
1671211471.920,-46.387,-17.578,-18.555,-21.973,-135.742,0
1671211471.924,-62.500,-14.648,-25.879,-31.250,-157.227,0
1671211471.928,-30.273,-20.020,-31.250,-39.551,-97.656,0
1671211471.932,13.672,-22.949,-30.762,-27.832,-41.992,0
1671211471.936,-4.883,-25.879,-37.109,-22.461,55.664,0
1671211471.940,-58.105,-26.855,-29.297,-29.297,33.203,0
1671211471.943,-72.754,-20.508,-24.414,-20.996,228.027,0
1671211471.947,-31.250,-21.484,-27.832,-20.508,284.180,0
1671211471.951,11.719,-21.973,-31.738,-33.691,-86.426,0
1671211471.955,6.348,-14.160,-23.438,-26.855,-112.305,0
1671211471.959,-47.852,-17.578,-22.949,-27.832,5.859,0
1671211471.960,-86.914,-25.391,-35.156,-45.898,-51.758,0
1671211471.964,-49.316,-24.414,-29.785,-48.828,-106.445,0
1671211471.968,9.277,-23.926,-24.902,-34.180,66.895,0
1671211471.972,4.883,-21.484,-24.902,-26.367,185.059,0
1671211471.976,-44.922,-15.625,-18.555,-24.414,-20.996,0
1671211471.980,-79.590,-15.625,-20.508,-30.762,-103.516,0
1671211471.984,-53.711,-18.555,-19.043,-32.227,-21.484,0
1671211471.987,10.254,-20.508,-15.137,-14.648,173.828,0
1671211471.991,15.625,-15.625,-13.672,-9.766,59.570,0
1671211471.995,-34.180,-11.230,-14.648,-18.066,-107.422,0
1671211471.999,-69.824,-14.648,-16.113,-24.902,-40.039,0
1671211472.003,-53.223,-11.719,-15.625,-29.785,-58.594,0
1671211472.006,-0.488,-13.672,-18.555,-30.273,-161.621,0
1671211472.010,13.184,-17.090,-25.391,-24.414,-135.742,0
1671211472.014,-25.879,-15.137,-21.484,-16.113,-94.238,0
1671211472.018,-64.453,-20.508,-20.020,-18.066,-110.840,0
1671211472.022,-52.734,-23.438,-27.832,-31.250,-168.457,0
1671211472.026,2.930,-20.996,-24.902,-26.367,-90.332,0
1671211472.030,31.738,-18.066,-18.066,-3.418,241.699,0
1671211472.033,-14.648,-15.137,-10.742,-3.418,281.738,0
1671211472.037,-71.289,-16.602,-7.812,-22.461,-31.738,0
1671211472.041,-62.988,-12.207,-16.113,-29.297,-80.078,0
1671211472.045,-16.113,-16.113,-29.785,-35.156,-12.207,0
1671211472.049,10.742,-20.996,-24.414,-24.902,-1.465,0
1671211472.051,-17.090,-16.113,-14.160,-17.090,24.902,0
1671211472.055,-70.801,-17.090,-21.484,-31.738,37.598,0
1671211472.059,-70.312,-20.020,-22.949,-33.203,280.762,0
1671211472.063,-19.043,-16.602,-21.484,-38.574,81.055,0
1671211472.067,7.812,-13.184,-23.438,-38.086,-132.812,0
1671211472.071,-17.578,-14.648,-17.578,-23.438,77.637,0
1671211472.075,-62.500,-19.043,-16.113,-19.043,356.445,0
1671211472.078,-75.684,-16.602,-18.066,-36.133,118.164,0
1671211472.082,-35.645,-17.578,-15.625,-47.363,-148.438,0
1671211472.086,5.859,-23.926,-20.508,-39.062,-10.254,0
1671211472.090,-17.090,-20.508,-31.250,-29.297,24.414,0
1671211472.094,-69.336,-16.602,-30.273,-38.574,-49.805,0
1671211472.097,-82.031,-18.066,-24.902,-50.781,-110.352,0
1671211472.101,-34.668,-15.625,-16.602,-38.574,-104.980,0
1671211472.105,-3.418,-18.066,-14.160,-31.250,-45.898,0
1671211472.109,-22.461,-21.484,-19.531,-22.461,24.414,0
1671211472.113,-67.383,-21.973,-27.344,-20.508,-8.789,0
1671211472.117,-90.820,-21.484,-23.438,-28.809,140.625,0
1671211472.121,-57.129,-13.672,-12.207,-29.297,167.969,0
1671211472.124,-10.254,-12.695,-17.578,-32.227,-104.492,0
1671211472.128,-14.160,-18.066,-22.461,-33.691,-95.703,0
