timestamps,TP9,AF7,AF8,TP10,Right AUX
1671211770.121,-43.945,-25.879,-20.508,-27.344,129.395,0
1671211770.125,-54.688,-23.926,-14.160,-25.879,221.191,0
1671211770.128,-37.598,-16.113,-2.930,-27.832,-29.297,0
1671211770.132,-18.066,-16.602,-17.578,-41.016,-131.348,0
1671211770.136,-20.020,-21.973,-22.461,-34.180,40.039,0
1671211770.140,-45.898,-20.996,-16.602,-23.438,180.176,0
1671211770.144,-59.570,-26.367,-19.531,-33.203,-112.305,0
1671211770.161,-42.480,-31.250,-26.367,-31.250,-216.797,0
1671211770.165,-21.484,-27.832,-25.879,-20.996,-44.922,0
1671211770.169,-14.648,-25.391,-16.602,-19.043,-78.613,0
1671211770.173,-39.551,-23.438,-9.766,-20.508,-214.844,0
1671211770.177,-60.547,-17.578,-18.066,-30.273,-184.570,0
1671211770.181,-47.852,-20.508,-32.227,-36.133,-6.348,0
1671211770.185,-24.902,-19.043,-25.879,-32.227,9.766,0
1671211770.188,-17.090,-14.160,-21.484,-29.297,-78.125,0
1671211770.192,-35.645,-19.531,-29.785,-21.484,-26.367,0
1671211770.196,-55.664,-21.484,-26.367,-15.625,121.094,0
1671211770.200,-50.781,-14.160,-27.344,-18.555,52.734,0
1671211770.204,-28.320,-14.160,-19.531,-18.066,-142.090,0
1671211770.206,-19.043,-13.184,-8.301,-8.789,-96.191,0
1671211770.210,-37.598,-13.184,-22.949,-8.789,10.254,0
1671211770.214,-64.453,-16.113,-29.785,-16.113,-3.418,0
1671211770.218,-60.059,-13.672,-25.391,-21.973,-116.211,0
1671211770.222,-29.785,-14.648,-30.762,-20.020,23.438,0
1671211770.226,-15.625,-16.113,-28.809,-10.254,181.641,0
1671211770.230,-28.320,-15.625,-25.879,-13.184,96.680,0
1671211770.233,-56.152,-24.414,-31.738,-18.066,54.688,0
1671211770.237,-60.547,-24.414,-25.391,-14.160,132.812,0
1671211770.241,-37.598,-17.578,-18.555,-13.672,145.020,0
1671211770.245,-22.461,-17.578,-17.578,-18.555,-72.266,0
1671211770.249,-37.598,-23.926,-20.996,-23.926,-166.016,0
1671211770.251,-54.199,-24.902,-29.297,-11.230,51.758,0
1671211770.255,-54.688,-20.508,-35.156,0.000,150.879,0
1671211770.259,-51.270,-17.578,-20.508,-28.320,-112.305,0
1671211770.263,-45.410,-20.996,-8.301,-36.133,-74.219,0
1671211770.267,-45.410,-26.367,-13.672,-12.207,50.781,0
1671211770.271,-65.430,-24.902,-15.625,-15.625,84.961,0
1671211770.275,-78.125,-25.879,-14.160,-35.645,39.551,0
1671211770.278,-53.711,-25.879,-10.742,-35.645,-71.777,0
1671211770.282,-31.250,-26.855,-16.113,-29.297,168.457,0
1671211770.286,-41.992,-29.785,-20.508,-26.855,333.008,0
1671211770.290,-64.453,-26.367,-17.578,-24.414,62.988,0
1671211770.294,-75.684,-23.438,-11.230,-17.090,2.441,0
